text,label
"Your computer is infected with a ransomware, please download the attachment to remove it.",scareware
"Your computer is infected with a trojan, please download the attachment to remove it.",scareware
"Your computer is infected with a virus, please download the attachment to remove it.",scareware
"Your computer is infected with a keylogger, please download the attachment to protect your privacy.",scareware
"Your computer is infected with adware, please download the attachment to protect your privacy.",scareware
"Your computer is infected with spyware, please download the attachment to protect your privacy.",scareware
"Your computer is infected with a ransomware, please download the attachment to protect your privacy.",scareware
"Your computer is infected with a worm, please download the attachment to protect your privacy.",scareware
"Your computer is infected with a trojan, please download the attachment to protect your privacy.",scareware
"Your computer is infected with a virus, please download the attachment to protect your privacy.",scareware
"Your account has been used to send fraudulent emails, please download the attachment to restore security.",scareware
"Your account has been used to send malicious emails, please download the attachment to restore security.",scareware
We send you the requested document as an attachment. Please open the file to view the contents.,malware
We have sent an update for your software. Please download and install the attachment to continue using the program.,malware
"We apologize for the inconvenience, but we send you a new login link as an attachment. Please open the file to continue.",malware
We send you an invoice as an attachment. Please check the contents and confirm the payment.,malware
We send you an invitation to an event as an attachment. Please open the file to view details and confirm participation.,malware
We have sent a new resume for your application. Please download the attachment to view the contents.,malware
We send you an order confirmation as an attachment. Please open the file to check the details and confirm receipt.,malware
We send you an appointment reminder as an attachment. Please open the file to view details and confirm availability.,malware
We have sent a new version of your contract as an attachment. Please download and sign the document to continue.,malware
We send you a receipt as an attachment. Please open the file to check the details and confirm receipt.,malware
We send you a photo as an attachment. Please download the image to view the content.,malware
We send you a presentation as an attachment. Please download the file to view the contents.,malware
We send you a demo as an attachment. Please download the file to view the contents.,malware
We send you a video as an attachment. Please download the file to view the contents.,malware
We send you a link as an attachment. Please open the file to access the content.,malware
We send you an invoice as an attachment. Please open the file to check the details and confirm the payment.,malware
We send you a document as an attachment. Please open the file to view the contents.,malware
We send you a certificate as an attachment. Please download the file to view the contents.,malware
We send you a note as an attachment. Please download the file to view the contents.,malware
We send you the requested document attached. Please open the file to view the contents.,malware
We have sent you the requested document as an attachment. Please open the file to view the contents.,malware
"We apologize for the inconvenience, but we send you a new login link attached. Please open the file to continue.",malware
We send you an invoice attached. Please check the contents and confirm the payment.,malware
We have sent you an invoice as an attachment. Please check the contents and confirm the payment.,malware
We send you an invitation to an event attached. Please open the file to view details and confirm participation.,malware
We have sent you an invitation to an event as an attachment. Please open the file to view details and confirm participation.,malware
We send you an order confirmation attached. Please open the file to check the details and confirm receipt.,malware
We have sent you an order confirmation as an attachment. Please open the file to check the details and confirm receipt.,malware
We send you an appointment reminder attached. Please open the file to view details and confirm availability.,malware
We have sent you an appointment reminder as an attachment. Please open the file to view details and confirm availability.,malware
We have sent you a new version of your contract as an attachment. Please download and sign the document to continue.,malware
We send you a receipt attached. Please open the file to check the details and confirm receipt.,malware
We have sent you a receipt as an attachment. Please open the file to check the details and confirm receipt.,malware
We send you a photo attached. Please download the image to view the content.,malware
We have sent you a photo as an attachment. Please download the image to view the content.,malware
We send you a presentation attached. Please download the file to view the contents.,malware
We have sent you a presentation as an attachment. Please download the file to view the contents.,malware
We send you a demo attached. Please download the file to view the contents.,malware
We have sent you a demo as an attachment. Please download the file to view the contents.,malware
We send you a video attached. Please download the file to view the contents.,malware
We have sent you a video as an attachment. Please download the file to view the contents.,malware
We send you a link attached. Please open the file to access the content.,malware
We have sent you a link as an attachment. Please open the file to access the content.,malware
We send you an invoice attached. Please open the file to check the details and confirm the payment.,malware
We have sent you an invoice as an attachment. Please open the file to check the details and confirm the payment.,malware
We have sent you a document as an attachment. Please open the file to view the contents.,malware
We send you a certificate attached. Please download the file to view the contents.,malware
We have sent you a certificate as an attachment. Please download the file to view the contents.,malware
We send you a note attached. Please download the file to view the contents.,malware
We have sent you a note as an attachment. Please download the file to view the contents.,malware
We have sent you a new version of your contract as an attachment. Please download and sign the document to continue the procedure.,malware
We send you an exclusive discount code as an attachment. Please download and use the code to get 50% off your next purchase.,baiting
We have sent you an exclusive discount code as an attachment. Please download and use the code to get 50% off your next purchase.,baiting
We send you a free ticket to an exclusive concert as an attachment. Please download and use your ticket to attend the concert.,baiting
We send you a free version of our software as an attachment. Please download and use the software to experience its features.,baiting
We send you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free 3 month subscription.,baiting
We have sent you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free subscription for 6 months.,baiting
We send you an invitation to an exclusive raffle as an attachment. Please download and use the invitation to enter the draw and win a prize.,baiting
We send you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership for one year.,baiting
We send you an exclusive offer for a free preview as an attachment. Please download and use the offer to get a free preview of our next movie.,baiting
We send you an exclusive offer for a free experience as an attachment. Please download and use the offer to get a free experience of our amusement park.,baiting
We send you an exclusive offer for free entry as an attachment. Please download and use the offer to get free entry to our water park.,baiting
We send you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership to our exclusive club.,baiting
We send you an exclusive offer for free entry as an attachment. Please download and use the offer to get free entry to our theme park.,baiting
We send you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership to our premium service.,baiting
We have sent you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership to our premium service.,baiting
Participate now and you will win an exclusive offer for a free subscription. Please download the attachment and use the offer to get a free subscription for 3 months.,baiting
We send you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership to our music streaming service.,baiting
Participate now and you will win a free membership. Please download the attachment and use the offer to get a free subscription to our music streaming service.,baiting
We send you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership to our exclusive discounts and offers service.,baiting
We send you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership to our online gaming service.,baiting
We send you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free subscription to our e-book service.,baiting
We send you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership to our online training service.,baiting
We send you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free subscription to our weather forecast service.,baiting
We send you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free subscription to our personalized news service.,baiting
We send you an exclusive discount code attached. Please download and use the code to get 50% off your next purchase.,baiting
We send you a free ticket to an exclusive concert attached. Please download and use your ticket to attend the concert.,baiting
We have sent you a free ticket to an exclusive concert as an attachment. Please download and use your ticket to attend the concert.,baiting
We have sent you a free version of our software as an attachment. Please download and use the software to experience its features.,baiting
We send you an exclusive offer for a free subscription attached. Please download and use the offer to get a free 3 month subscription.,baiting
We have sent you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free 3 month subscription.,baiting
We send you an invitation to an exclusive raffle attached. Please download and use the invitation to enter the draw and win a prize.,baiting
We have sent you an invitation to an exclusive raffle as an attachment. Please download and use the invitation to enter the draw and win a prize.,baiting
We send you an exclusive offer for a free membership attached. Please download and use the offer to get a free membership for one year.,baiting
We have sent you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership for one year.,baiting
We send you an exclusive offer for a free preview attached. Please download and use the offer to get a free preview of our next movie.,baiting
We have sent you an exclusive offer for a free preview as an attachment. Please download and use the offer to get a free preview of our next movie.,baiting
We send you an exclusive offer for a free experience attached. Please download and use the offer to get a free experience of our amusement park.,baiting
We have sent you an exclusive offer for a free experience as an attachment. Please download and use the offer to get a free experience of our amusement park.,baiting
We send you an exclusive offer for a free entry attached. Please download and use the offer to get free entry to our water park.,baiting
We have sent you an exclusive offer for free entry as an attachment. Please download and use the offer to get free entry to our water park.,baiting
We send you an exclusive offer for a free membership attached. Please download and use the offer to get a free membership to our exclusive club.,baiting
We have sent you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership to our exclusive club.,baiting
We send you an exclusive offer for a free entry attached. Please download and use the offer to get free entry to our theme park.,baiting
We have sent you an exclusive offer for free entry as an attachment. Please download and use the offer to get free entry to our theme park.,baiting
We send you an exclusive offer for a free membership attached. Please download and use the offer to get a free membership to our premium service.,baiting
We send you an exclusive offer for a free membership attached. Please download and use the offer to get a free membership to our music streaming service.,baiting
We have sent you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership to our music streaming service.,baiting
We send you an exclusive offer for a free membership attached. Please download and use the offer to get a free membership to our exclusive discounts and offers service.,baiting
We have sent you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership to our exclusive discounts and offers service.,baiting
We send you an exclusive offer for a free membership attached. Please download and use the offer to get a free membership to our online gaming service.,baiting
We have sent you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership to our online gaming service.,baiting
We send you an exclusive offer for a free membership attached. Please download and use the offer to get a free subscription to our e-book service.,baiting
We have sent you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free subscription to our e-book service.,baiting
We send you an exclusive offer for a free membership attached. Please download and use the offer to get a free membership to our online training service.,baiting
We have sent you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free membership to our online training service.,baiting
We send you an exclusive offer for a free membership attached. Please download and use the offer to get a free subscription to our weather forecast service.,baiting
We have sent you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free subscription to our weather forecast service.,baiting
We send you an exclusive offer for a free membership attached. Please download and use the offer to get a free subscription to our personalized news service.,baiting
We have sent you an exclusive offer for a free membership as an attachment. Please download and use the offer to get a free subscription to our personalized news service.,baiting
I am a representative of your bank. I need your account number and password to verify some suspicious transactions.,pretexting
I'm a customer service representative for your credit card company. I need your credit card number and expiration date to verify a suspicious transaction.,pretexting
I'm a customer service representative for your phone company. I need your phone number and password to verify some suspicious calls.,pretexting
I am an Amazon customer service representative. I need your email address and password to verify some suspicious purchases.,pretexting
I am a PayPal customer service representative. I need your email address and password to verify some suspicious transactions.,pretexting
I'm a Netflix customer service representative. I need your email address and password to verify some suspicious subscriptions.,pretexting
I'm an iCloud customer service representative. I need your email address and password to verify some suspicious files.,pretexting
I am a Microsoft customer support representative. I need your email address and password to verify some suspicious software purchases.,pretexting
I'm a Facebook customer service representative. I need your email address and password to check for some suspicious activity.,pretexting
I'm a LinkedIn customer service representative. I need your email address and password to verify some suspicious job applications.,pretexting
I'm a Twitter customer support representative. I need your email address and password to verify some suspicious tweets.,pretexting
I'm an Instagram customer service representative. I need your email address and password to verify some suspicious posts.,pretexting
I'm a Google customer support representative. I need your email address and password to check for some suspicious activity.,pretexting
I'm a customer service representative from your internet provider. I need your account number and password to verify some suspicious activity.,pretexting
I am an eBay customer service representative. I need your email address and password to verify some suspicious purchases.,pretexting
I am a customer service representative of your insurance company. I need your policy number and date of birth to verify some information about your account.,pretexting
I'm a customer service representative for your energy company. I need your account number and date of birth to verify some information about your account.,pretexting
I'm a customer service representative for your loyalty card company. I need your loyalty card number and date of birth to verify some information about your account.,pretexting
I'm a customer service representative for your investment company. I need your account number and date of birth to verify some information about your account.,pretexting
I am a customer service representative for your auto insurance company. I need your policy number and date of birth to verify some information about you.,pretexting
I'm a customer service representative for your financing company. I need your contract number and your date of birth to verify some information about your account.,pretexting
I am a customer service representative for your car rental company. I need your reservation number and your date of birth to verify some information about you.,pretexting
I am a customer service representative of your travel company. I need your reservation number and your date of birth to verify some information about you.,pretexting
I'm a customer service representative for your rental company. I need your contract number and your date of birth to verify some information about your account.,pretexting
I am a Microsoft customer support representative. I need your email address and password to check for some suspicious activity.,pretexting
I'm an iCloud customer service representative. I need your email address and password to check for some suspicious activity.,pretexting
I'm a Twitter customer support representative. I need your email address and password to check for some suspicious activity.,pretexting
I'm a LinkedIn customer service representative. I need your email address and password to check for some suspicious activity.,pretexting
I'm a Netflix customer service representative. I need your email address and password to check for some suspicious activity.,pretexting
I am a Dazn customer service representative. I need your email address and password to check for some suspicious activity.,pretexting
I am a PayPal customer service representative. I need your email address and password to check for some suspicious activity.,pretexting
I'm an Instagram customer service representative. I need your email address and password to check for some suspicious activity.,pretexting
I am a customer service manager. We need you to confirm your login information as soon as possible.,pretexting
I'm the technical support manager. We need you to confirm your login information within 48 hours.,pretexting
I'm the technical support manager. We need you to confirm your login information within 24 hours.,pretexting
I am a customer support representative. We need you to confirm your login information within 48 hours.,pretexting
I am a customer support representative. We need you to confirm your login information within 24 hours.,pretexting
We are writing to you from Microsoft Customer Support. We need your email address and password to check for some suspicious activity.,pretexting
We write to you from iCloud customer support. We need your email address and password to check for some suspicious activity.,pretexting
We write to you from Facebook customer support. We need your email address and password to check for some suspicious activity.,pretexting
We write to you from Twitter customer support. We need your email address and password to check for some suspicious activity.,pretexting
We write to you from LinkedIn Customer Service. We need your email address and password to check for some suspicious activity.,pretexting
We write to you from Netflix customer support. We need your email address and password to check for some suspicious activity.,pretexting
We write to you from Dazn customer support. We need your email address and password to check for some suspicious activity.,pretexting
We are writing to you from PayPal customer service. We need your email address and password to check for some suspicious activity.,pretexting
We write to you from Instagram customer support. We need your email address and password to check for some suspicious activity.,pretexting
We write to you from Google customer support. We need your email address and password to check for some suspicious activity.,pretexting
We are writing to you from customer support. We need your email address and password to check for some suspicious activity.,pretexting
"We're in customer service, we've become aware of suspicious activity. We need your email address and password to check for some suspicious activity.",pretexting
I'm the manager of your bank. I need your account number and password to verify that your account has no problems.,pretexting
We represent the management of your bank. We need your account number and password to verify that your account is free of problems.,pretexting
"I'm sorry that happened, I realize we weren't good enough at time management. We wish you the best for your future.",non-malicious
"Sorry, I'm on vacation these days and have limited connectivity. I was hoping to be in an area with a decent connection for a call but sadly I only just got the network now. I know you wanted to speed up the process, sorry I can't do it today. We can try from tomorrow onwards. I'm waiting. Thank you.",non-malicious
Sorry I was on the road consecutively for several weeks and was unable to talk to HR colleagues. I'll call you tomorrow. A warm greeting.,non-malicious
OK thank you. We'll see you towards the end of next week. Good evening.,non-malicious
"How are you? I'm fine. Here things are going great. You, how are things going? Novelty? A big hug. I look forward to hearing from you.",non-malicious
"I hope all is well. It's been a while since we've heard from each other, I'd like to know how you're doing and if there's been any interesting developments or events in your life recently. Sometimes it's nice to share news and updates with friends. If you have some free time, we can also arrange a call or virtual meeting for a more in-depth chat. I wish you a wonderful day! Best regards.",non-malicious
"We just spoke on the phone. I'll leave you my contact details and ask you to send me your CV, possibly in Word format. Thank you for the time you gave me. Good day.",non-malicious
"Following up on the previous correspondence, I thank you for the release received, however I would like to point out that the same is incomplete. Please send me a complete release of the information as well as the proof of payment of the ordinary condominium fees. In thanking you for your availability, I cordially greet you.",non-malicious
"I rewrote the letter to you. It has to fit on a page. It must tell what may be of interest to those who read it for a possible meeting, which is the first difficulty to overcome. Avoid the remote pasts as much as you can. From the CV, remove the photo and address of residence, do not pass on unnecessary personal information. In the Curriculum Vitae maybe put an initials rather than the signature. Start reading databases administration material on the net e.g. postgres, mysql or maria db etc to get a feel for them and say you used them. A smattering of ML. Greetings.",non-malicious
"I solicited those for cleaning the air conditioner, I hope they call you during the week. I remind you not to pay them anything, for this year I will pay for the cleaning in full, anyway I would have done it between July and September with or without tenants. HI.",non-malicious
Just got back from vacation. I will read the first draft of the thesis in the next few days. I will be in the department from September 3rd (morning). Best regards.,non-malicious
"When you read this message, you will have already passed the exam (I hope with an excellent grade). This, for me, is a hot hospital afternoon but above all worried about the exam you have to take, waiting for your release phone call, I sat in front of this PC to write you a few words of comfort. Be strong and courageous and face all problems always thinking that there is always a solution. Hello, a hug.",non-malicious
"All right, that seems reasonable to me. Can we still meet briefly today or in the next few days to discuss how to proceed? Best regards.",non-malicious
This is to request an appointment for the specialist visit. I await your kind reply. Best regards.,non-malicious
This is to request a quote for the visit in question. Best regards.,non-malicious
"How is it going? I often think of the fun times and laughter we shared and hope we can plan a meeting soon to make up for this lack of time spent together. What do you say? In the meantime, don't hesitate to let me know how I can help you or if you need anything. We've been friends for so long that I want to make sure you know how much you care about me. A greeting.",non-malicious
"I often think of the fun times and laughter we shared and hope we can plan a meeting soon to make up for this lack of time spent together. What do you say? In the meantime, don't hesitate to let me know how I can help you or if you need anything. We've been friends for so long that I want to make sure you know how much you care about me. A warm greeting.",non-malicious
This is to inform you that the appointment has been postponed. I will send you the details for the new appointment soon. Best regards. See you soon.,non-malicious
I wanted to know how the trip went. Everything OK? Have you had any mistakes? I await your kind reply. Best regards.,non-malicious
I wanted to know how the overnight stay went. Everything OK? Have you had any mistakes? I await your kind reply. Best regards.,non-malicious
I wanted to know if the trip had been to your liking. Everything OK? Have you had any mistakes? I await your kind reply. Best regards.,non-malicious
I wanted to know if the overnight stay had been to your liking. Everything OK? Have you had any mistakes? I await your kind reply. Best regards.,non-malicious
Unfortunately it is not possible today. Can we hear from you in the next few days? I await reply. Greetings.,non-malicious
Unfortunately this evening is not possible. Can we hear from you in the next few days? I await reply. Greetings.,non-malicious
Unfortunately it is not possible tomorrow. Can we hear from you in the next few days? I await reply. Greetings.,non-malicious
Unfortunately it won't be possible tomorrow. Can we hear from you in the next few days? I await reply. Greetings.,non-malicious
I'm sorry but unfortunately next week I'm afraid it won't be possible. Can we hear from you in the next few days? I await reply. Greetings.,non-malicious
This week it is not possible. Can we hear from you next week? I await reply. A greeting.,non-malicious
"I'm sorry, but we should postpone. I'll update it as soon as possible. Best regards.",non-malicious
Could you give me feedback on the outcome of the meeting? Thank you. Greetings.,non-malicious
"How are you? I hope you can read this email as soon as possible. Remember the travel talk? Just to be certain, I wanted to ask if you had anything in mind. Let me know. A thousand thanks. HI.",non-malicious
Then you never let me know anything again. I hope all is well. Let me know. I await your news. A hug. A greeting.,non-malicious
Then you never let me know anything again. I hope he hasn't changed his mind. Let me know. I await yours. A greeting.,non-malicious
Is the news you gave me yesterday confirmed? Let me know. Greetings. See you soon.,non-malicious
Could you give me confirmation of the appointment?,non-malicious
I wanted to know if the appointment is confirmed. Best regards.,non-malicious
I am writing to find out if there was any news on the appointment scheduled last week. Thank you. Greetings.,non-malicious
I am writing to you regarding the scheduled meeting. Unfortunately I won't be able to be there for personal reasons. I'll write to you when I have news. Excuse me. Greetings.,non-malicious
I am writing to inquire about the appointment scheduled last week. Thank you. Greetings.,non-malicious
This is to let you know that your appointment has been confirmed. Best regards. See you soon.,non-malicious
The appointment is confirmed. See you soon. Best regards.,non-malicious
HI. A greeting.,non-malicious
HI. A hug.,non-malicious
I am writing to inquire about the appointment fixed last week. Thank you. Greetings.,non-malicious
I would like to know about the appointment scheduled in the recent past. Thank you. Greetings.,non-malicious
Could you give me feedback on the results of the tests carried out this morning? Thank you. Greetings.,non-malicious
Could you give me feedback on the results of the exams carried out last week? Thank you. I wait for a feedback. Greetings.,non-malicious
I would like feedback on the results of the exams carried out last week? Thank you. I wait for a feedback. Greetings.,non-malicious
May I know the result of the exams carried out at your facility? Greetings.,non-malicious
Have you had any news? Thank you.,non-malicious
You have news? Thank you.,non-malicious
Can you tell me if there's any news?,non-malicious
"I wanted to update you on the holiday we had planned, we decided to go to a restaurant on the last night instead of a club. Is it good for you?",non-malicious
"Regarding the company dinner, in which restaurant do we have to book? Let us know soon.",non-malicious
"I wanted to tell you about that time at the stadium, it was an exceptional experience, even if Roma lost.",non-malicious
"I wanted to update you on the latest news, you know I bought the A.S. Rome? The last one, the adidas one with the Gratton turtleneck, is truly beautiful.",non-malicious
"As for the invitation to the stadium, you know, I don't feel like going to watch the Juventus game, I hate it, I really can't tolerate it. Do you mind if we go to the cinema?",non-malicious
"But did you know that in the end the eggplant parmigiana turned out very good. Thank you so much for the recipe, we were mouthwatering.",non-malicious
"Yes, I love pizza, but couldn't we, for example, go and eat a seafood risotto? Update me. Greetings.",non-malicious
"As for dinner with our group, we could eat a pizza, I'd choose a nice marinara. I await news.",non-malicious
"Yes, I did the visit, it went well. Thank you. A greeting.",non-malicious
"But of course, you shouldn't have bothered. But thanks a lot.",non-malicious
How much is that beautiful shirt?,non-malicious
"I would like to know the cost for a two night stay, for a double room. Thank you.",non-malicious
I am writing to have news regarding the exam carried out two weeks ago. I await your kind reply. Greetings.,non-malicious
This letter is for news regarding the exam carried out a month ago. I await reply. Greetings.,non-malicious
This is for information on the total cost of the operation. I await reply. Greetings. Thank you.,non-malicious
"We would be five, but other people could be added. I'll let you know if we have any news. See you again. Greetings.",non-malicious
